Timestamp,Side,Thought entry price,Actual entry price,HalfSpread,Volatility,Velocity,Gear,PredJump,Time till strike,OrderID,Size,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8
1765036658.9877408,UP,0.27,0.28,0.005,0.6,8.77,0.00344,0.0301,142,0x09ae2972d8c32a1d092c9410818d7469712d23f0e1e9fd613fc6ea4cb34bf3c2,5.18,0.35,0.36,0.38,0.39,0.4,0.4,0.4,0.4
1765036810.5341892,DOWN,0.52,0.54,0.005,0.6,-14.47,0.00139,-0.0202,891,0x9c3de3c6c77df25db846e507212b5b7fa00e1f51370c1920372cdb519eeb0995,5.0,0.54,0.57,0.57,0.56,0.56,0.55,0.53,0.53
1765037889.814088,DOWN,0.62,0.64,0.010,0.6,-13.0,0.00154,-0.02,711,0xbbb90556fec99a004c964ef506547c73e2855223a52e62066d531019e350ccb9,0.29,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.66
1765037973.269494,UP,0.39,0.41,0.005,0.6,12.52,0.00165,0.0207,628,0x2cbbe52c4ec875031fdb6330477525eb07f8e399fc9f4edf439492fbf863478c,5.0,0.41,0.41,0.41,0.42,0.42,0.44,0.44,0.44
1765037940.013406,DOWN,0.63,0.64,0.005,0.6,-15.02,0.0016,-0.024,661,0xa5f776ef9679ed3d466a6b8115a550206893ee89e1c3f46fde81fd270ff244d2,5.08,0.64,0.64,0.64,0.63,0.63,0.63,0.64,0.64
1765038048.5758643,DOWN,0.65,0.66,0.005,0.6,-11.55,0.00174,-0.0202,552,0x1cbd2a51b672a604155d648179c853b211193d7aef200ced44fade41dc0b9562,5.08,0.68,0.69,0.69,0.69,0.68,0.68,0.68,0.68
1765038136.2413535,UP,0.28,0.3,0.005,0.6,10.68,0.00189,0.0202,465,0xfdde06b6498b3f419c7cabff8748fcb12ba2edf1a2cbaccf978e21b5bf1d43d2,5.0,0.3,0.3,0.3,0.32,0.32,0.31,0.32,0.32
1765038391.9421802,UP,0.35,0.35,0.010,0.6,9.38,0.00287,0.0269,209,0x87c2335c3cdab6a37c5cf38cc27f3aec97f646a7396a7b4d8ba98fd4312d1f8b,5.29,0.38,0.38,0.39,0.39,0.39,0.38,0.38,0.38
1765038767.2525005,DOWN,0.61,0.63,0.005,0.6,-13.27,0.00153,-0.0203,734,0x560dca02b1849dfadd3d70c9cc88ad955723d2f2439410dba7a6d85e58a70fdb,5.0,0.66,0.66,0.66,0.66,0.66,0.66,0.64,0.64
1765038901.621212,DOWN,0.73,0.75,0.010,0.6,-12.32,0.00167,-0.0205,599,0xd58bcd91721a4930372b2a5dac0a46fc20870db2c4d36bf20f4a41eff3421909,5.0,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.76
1765039247.7903447,DOWN,0.41,0.43,0.005,0.6,-7.69,0.0026,-0.02,253,0xbd8c97bb138071da1072d7d62b3af167b76abba12506a83b4c64676e373753dc,5.0,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1765039236.4914014,DOWN,0.29,0.31,0.015,0.6,-10.92,0.0025,-0.0273,265,0xdd0c064b6e3149f0421a8c527b0af666333e7ad82f8f8e35803f1940daf6b89b,5.0,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31
1765039199.0897987,DOWN,0.49,0.5,0.005,0.6,-8.81,0.00239,-0.0211,302,0xd832ad792c30b5d79a6202e9b0e567aea428510403462c69fd566518d8dcdc52,5.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
