Timestamp,Side,Entry,Spread,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5
1764344902.9387782,DOWN,0.76,0.010000000000000009,0.75,0.75,0.75,0.75,0.75
1764344942.339388,DOWN,0.78,0.010000000000000009,0.78,0.78,0.79,0.79,0.79
1764344948.584793,UP,0.24,0.009999999999999981,0.24,0.24,0.24,0.24,0.24
1764344965.7445,DOWN,0.81,0.010000000000000009,0.81,0.81,0.81,0.81,0.81
1764345001.655105,DOWN,0.71,0.020000000000000018,0.69,0.68,0.68,0.68,0.66
1764345019.214425,DOWN,0.72,0.010000000000000009,0.72,0.72,0.72,0.72,0.72
1764345053.6786602,DOWN,0.77,0.010000000000000009,0.77,0.77,0.78,0.78,0.78
1764345083.354132,DOWN,0.87,0.020000000000000018,0.87,0.87,0.87,0.87,0.87
1764345092.251132,DOWN,0.87,0.010000000000000009,0.89,0.89,0.89,0.88,0.88
1764345171.054664,DOWN,0.9,0.01,0.9,0.9,0.9,0.9,0.9
1764345193.2571259,UP,0.13,0.02,0.13,0.13,0.13,0.13,0.13
1764345217.437137,UP,0.14,0.02,0.14,0.14,0.14,0.14,0.14
1764345228.073092,DOWN,0.85,0.02,0.84,0.83,0.82,0.82,0.82
1764345242.9148538,DOWN,0.86,0.02,0.87,0.87,0.87,0.87,0.87
1764345281.218027,UP,0.16,0.02,0.16,0.16,0.16,0.16,0.16
1764361329.81152,UP,0.85,0.01,0.85,0.85,0.85,0.85,0.85
1764361509.916244,UP,0.9,0.01,0.9,0.91,0.91,0.91,0.91
