Timestamp,Side,Entry,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5
1764339343.050273,UP,0.49,0.49,0.51,0.5,0.51,0.51
1764339388.830358,UP,0.67,0.66,0.65,0.65,0.64,0.62
1764339399.1354592,UP,0.67,0.65,0.67,0.66,0.66,0.66
1764339406.079521,DOWN,0.37,0.37,0.37,0.37,0.37,0.37
1764339417.506135,UP,0.66,0.67,0.67,0.67,0.67,0.67
1764339435.013765,UP,0.68,0.68,0.68,0.68,0.68,0.68
1764339440.200447,UP,0.73,0.72,0.71,0.71,0.71,0.71
1764339445.158932,UP,0.73,0.73,0.73,0.75,0.74,0.74
1764339469.3376691,DOWN,0.29,0.29,0.29,0.29,0.29,0.29
1764339529.495113,UP,0.65,0.65,0.66,0.66,0.66,0.67
1764339554.150421,UP,0.59,0.59,0.6,0.6,0.6,0.6
1764339575.54107,DOWN,0.43,0.43,0.43,0.5,0.5,0.51
1764342102.925266,UP,0.68,0.68,0.68,0.68,0.68,0.68
1764342108.638567,UP,0.66,0.65,0.65,0.65,0.65,0.65
1764342145.353009,DOWN,0.31,0.29,0.29,0.29,0.29,0.29
1764342151.01338,DOWN,0.31,0.31,0.31,0.31,0.31,0.31
1764342201.727825,DOWN,0.54,0.56,0.56,0.55,0.55,0.55
1764342270.665405,UP,0.38,0.39,0.38,0.37,0.36,0.36
1764342302.571448,UP,0.42,0.41,0.42,0.41,0.42,0.42
1764342343.0053499,DOWN,0.7,0.7,0.7,0.7,0.71,0.71
1764342365.375896,DOWN,0.69,0.68,0.7,0.71,0.72,0.72
1764342385.324223,UP,0.26,0.25,0.25,0.27,0.28,0.28
1764342426.4117372,UP,0.29,0.33,0.33,0.32,0.32,0.33
1764342440.544034,UP,0.42,0.42,0.42,0.43,0.43,0.43
1764342499.214638,DOWN,0.66,0.67,0.67,0.67,0.67,0.7
1764342514.456207,UP,0.34,0.33,0.33,0.33,0.34,0.34
1764342543.71965,DOWN,0.58,0.59,0.59,0.59,0.59,0.59
1764343014.697601,DOWN,0.28,0.28,0.28,0.28,0.27,0.27
1764343071.925737,UP,0.79,0.79,0.79,0.79,0.8,0.8
1764343078.324111,DOWN,0.21,0.21,0.2,0.2,0.19,0.19
1764343127.3214002,UP,0.85,0.85,0.85,0.85,0.85,0.85
1764343152.819252,UP,0.86,0.86,0.86,0.86,0.86,0.86
1764343172.0838988,DOWN,0.12,0.12,0.12,0.12,0.12,0.12
1764343216.873215,DOWN,0.11,0.11,0.11,0.11,0.11,0.11
1764343234.546915,UP,0.9,0.9,0.92,0.92,0.92,0.92
1764343327.783457,DOWN,0.12,0.12,0.11,0.11,0.11,0.11
1764343364.0987341,UP,0.9,0.9,0.9,0.91,0.9,0.9
1764343800.5456378,DOWN,0.53,0.53,0.53,0.53,0.53,0.53
1764343807.070786,DOWN,0.52,0.52,0.53,0.52,0.53,0.51
1764343818.8891442,UP,0.47,0.46,0.46,0.45,0.44,0.43
1764343824.6407528,UP,0.47,0.47,0.47,0.47,0.47,0.46
1764343870.0678751,DOWN,0.64,0.65,0.65,0.66,0.66,0.64
1764343916.1366558,UP,0.43,0.43,0.43,0.43,0.43,0.43
1764343921.102695,UP,0.5,0.53,0.55,0.55,0.55,0.57
1764343926.8113432,UP,0.6,0.6,0.6,0.6,0.62,0.62
1764343956.824022,UP,0.44,0.44,0.45,0.45,0.45,0.45
1764344059.184957,UP,0.6,0.020000000000000018,0.6,0.6,0.6,0.6,0.61
1764344082.478364,DOWN,0.34,0.010000000000000009,0.34,0.34,0.34,0.34,0.34
1764344165.03807,DOWN,0.38,0.010000000000000009,0.4,0.39,0.39,0.4,0.4
1764344185.741825,DOWN,0.39,0.020000000000000018,0.38,0.39,0.39,0.39,0.4
1764344266.541377,DOWN,0.34,0.020000000000000018,0.32,0.33,0.33,0.33,0.33
